"","Time","Plot_number","Treatment","Quadrat_number","Quadrat_fenced","Quadrat_gap","Richness_change"
"348","0-6",10,"Gap",28,"True","False",0
"349","0-6",10,"Gap",29,"False","False",-2
"350","0-6",10,"Gap",30,"True","True",-3
"351","0-6",10,"Gap",31,"False","True",0
"352","0-6",10,"Gap",32,"True","True",8
"353","0-6",12,"Gap",1,"False","False",-6
"354","0-6",12,"Gap",2,"True","True",-4
"355","0-6",12,"Gap",3,"False","True",-7
"356","0-6",12,"Gap",4,"True","True",-6
"357","0-6",12,"Gap",5,"False","False",3
"358","0-6",12,"Gap",6,"True","True",4
"359","0-6",12,"Gap",7,"False","True",-1
"360","0-6",12,"Gap",8,"True","False",-5
"361","0-6",12,"Gap",9,"False","True",4
"362","0-6",12,"Gap",10,"True","True",3
"363","0-6",12,"Gap",11,"False","True",-3
"364","0-6",12,"Gap",12,"True","True",-6
"365","0-6",12,"Gap",13,"False","False",-5
"366","0-6",12,"Gap",14,"True","True",-3
"367","0-6",12,"Gap",15,"False","False",-4
"368","0-6",12,"Gap",16,"True","True",-9
"369","0-6",12,"Gap",17,"False","True",-4
"370","0-6",12,"Gap",18,"True","True",-5
"371","0-6",12,"Gap",19,"False","True",6
"372","0-6",12,"Gap",20,"True","True",1
"373","0-6",12,"Gap",21,"False","False",1
"374","0-6",12,"Gap",22,"True","False",-4
"375","0-6",12,"Gap",23,"False","True",2
"376","0-6",12,"Gap",24,"True","False",1
"377","0-6",12,"Gap",25,"False","True",-6
"378","0-6",12,"Gap",26,"True","False",-6
"379","0-6",12,"Gap",27,"False","False",2
"380","0-6",12,"Gap",28,"True","True",-7
"381","0-6",12,"Gap",29,"False","False",-4
"382","0-6",12,"Gap",30,"True","False",-3
"383","0-6",12,"Gap",31,"False","False",-2
"384","0-6",12,"Gap",32,"True","True",-6
