Tree Number,Plot,Treatment,Large,Alive at year 0,DBH year 0,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Alive at year 6,DBH year 6,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
35,1,T1: Gap,True,True,44.8,0,0.0,0.0,True,49.0,0,,
36,1,T1: Gap,True,True,41.5,0,0.0,1.0,True,40.5,0,,
37,1,T1: Gap,True,True,38.3,0,0.0,0.0,True,41.1,0,,
38,1,T1: Gap,True,True,38.0,0,0.0,0.0,True,38.2,0,,
39,1,T1: Gap,True,True,38.5,0,0.0,0.0,True,41.3,0,,
40,1,T1: Gap,True,True,40.2,0,0.0,0.0,True,41.8,0,,
501,1,T1: Gap,False,True,26.5,,,,True,30.6,0,,
502,1,T1: Gap,False,True,27.9,,,,True,28.9,0,,
503,1,T1: Gap,False,True,22.0,,,,True,24.0,0,,
504,1,T1: Gap,False,True,28.3,,,,True,31.1,0,,
508,1,T1: Gap,False,True,27.1,,,,True,28.3,0,,
509,1,T1: Gap,False,True,21.5,,,,True,21.8,0,,
513,1,T1: Gap,False,True,26.0,,,,True,26.5,0,,
514,1,T1: Gap,False,True,27.5,,,,True,28.2,0,,
515,1,T1: Gap,False,True,28.8,,,,True,29.3,0,,
519,1,T1: Gap,False,True,24.2,,,,True,24.6,0,,
505,1,T1: Gap,False,True,30.5,0,0.0,0.0,True,33.0,0,,
506,1,T1: Gap,False,True,32.1,0,0.0,0.0,True,33.6,0,,
507,1,T1: Gap,False,True,33.0,0,0.0,0.0,True,34.2,0,,
510,1,T1: Gap,False,True,31.4,0,0.0,0.0,True,33.4,0,,
511,1,T1: Gap,False,True,34.8,0,0.0,0.0,True,36.6,0,,
512,1,T1: Gap,False,True,33.7,0,0.0,0.0,True,35.5,0,,
516,1,T1: Gap,False,True,31.6,0,1.0,0.0,True,32.3,1,,
517,1,T1: Gap,False,True,37.2,0,0.0,0.0,True,39.2,0,,
518,1,T1: Gap,False,True,33.5,0,0.0,0.0,True,35.2,0,,
520,1,T1: Gap,False,True,33.7,0,0.0,0.0,True,34.4,0,,
321,10,T1: Gap,False,True,25.0,,,,True,26.5,0.0,0.0,0.0
